Code,FAA Aircraft Type,EDMS Aircraft Code,Engine Manufacturer,Engine,EDMS ID,SCC,SCC Description,Map To,Last Inventory Year,Last updated on
201269,Ryan Navion B,4940,,TIO-540-J2B2 ,1715,2275050011,"General Aviation, Piston",,,7/18/2018
201270,Ryan Navion F,4941,,TIO-540-J2B2 ,1715,2275050011,"General Aviation, Piston",,,7/18/2018
201271,Piper PA-32 Cherokee Six,4956,,TIO-540-J2B2 ,1715,2275050011,"General Aviation, Piston",,,7/31/2018
201272,Boeing Stearman PT-17 / A75N1,4554,,TIO-540-J2B2 ,1715,2275050011,"General Aviation, Piston",,,7/18/2018
201274,Ryan ST3KR,4999,,TIO-540-J2B2 ,1715,2275050011,"General Aviation, Piston",,,7/18/2018
201275,Maule MT-7-235,4865,,250B17B ,1339,2275050012,"General Aviation, Turbine",,,7/18/2018
201276,Raytheon Beech Bonanza 36,4637,,TIO-540-J2B2 ,1715,2275050011,"General Aviation, Piston",,,7/31/2018
201277,Cessna 210 Centurion,4670,,TIO-540-J2B2 ,1715,2275050011,"General Aviation, Piston",,,7/31/2018
201278,Cessna 441 Conquest II,4679,,TPE331-8 ,1744,2275050012,"General Aviation, Turbine",,,7/31/2018
201279,Piper PA-31T Cheyenne,4955,,PT6A-28 ,1619,2275050012,"General Aviation, Turbine",,,7/31/2018
201280,Cessna 441 Conquest II,4679,Allied Signal,TPE331-10A ,1727,2275050012,"General Aviation, Turbine",,,7/31/2018
201281,Cessna 441 Conquest II,4679,Allied Signal,TPE331-10G ,1728,2275050012,"General Aviation, Turbine",,,7/31/2018
201282,Cessna 441 Conquest II,4679,Allied Signal,TPE331-10N ,1729,2275050012,"General Aviation, Turbine",,,7/31/2018
201283,Cessna 441 Conquest II,4679,Allied Signal,TPE331-10U ,1731,2275050012,"General Aviation, Turbine",,,7/31/2018
201284,Cessna 441 Conquest II,4679,Allied Signal,TPE331-10UA ,1717,2275050012,"General Aviation, Turbine",,,7/31/2018
201285,Cessna 441 Conquest II,4679,Allied Signal,TPE331-10UK ,1719,2275050012,"General Aviation, Turbine",,,7/31/2018
201286,Cessna 441 Conquest II,4679,,TPE331-10 ,1726,2275050012,"General Aviation, Turbine",,,7/31/2018
201287,Cessna 441 Conquest II,4679,Allied Signal,TPE331-10GT ,1716,2275050012,"General Aviation, Turbine",,,7/31/2018
201288,Cessna 500 Citation I,4680,Pratt & Whitney (Canada),JT15D-1 series,1292,2275050012,"General Aviation, Turbine",,,7/31/2018
201289,Cessna 501 Citation ISP,4681,Pratt & Whitney (Canada),JT15D-1 series,1292,2275050012,"General Aviation, Turbine",,,7/18/2018
201290,Cessna 525 CitationJet,4682,Pratt & Whitney (Canada),JT15D-1 series,1292,2275050012,"General Aviation, Turbine",,,7/18/2018
201291,Cessna 500 Citation I,4680,Pratt & Whitney Canada,JT15D-4 series,1293,2275050012,"General Aviation, Turbine",,,8/5/2021
201292,Cessna 550 Citation II,4683,Pratt & Whitney Canada,JT15D-4 series,1293,2275050012,"General Aviation, Turbine",,,8/5/2021
201293,Cessna S550 Citation S/II,4684,Pratt & Whitney Canada,JT15D-4 series,1293,2275050012,"General Aviation, Turbine",,,8/5/2021
201294,Cessna 551 Citation IISP,4685,Pratt & Whitney Canada,JT15D-4 series,1293,2275050012,"General Aviation, Turbine",,,8/5/2021
201295,Cessna 552 T-47A,4686,Pratt & Whitney Canada,JT15D-4 series,1293,2275050012,"General Aviation, Turbine",,,8/5/2021
201296,Raytheon Premier I,4962,Pratt & Whitney (Canada),JT15D-1 series,1292,2275050012,"General Aviation, Turbine",,,7/18/2018
201297,Cessna 552 T-47A,4686,Pratt & Whitney (Canada),"JT15D-5, -5A, -5B",1294,2275050012,"General Aviation, Turbine",,,7/31/2018
201298,Cessna 560 Citation V,4687,Pratt & Whitney (Canada),"JT15D-5, -5A, -5B",1294,2275050012,"General Aviation, Turbine",,,7/31/2018
201301,Aerospatiale SN 601 Corvette,4996,Pratt & Whitney Canada,JT15D-4 series,1293,2275060012,"Air Taxi, Turbine",,,8/5/2021
201302,Cessna 552 T-47A,4686,Pratt & Whitney (Canada),JT15D-5C,1295,2275050012,"General Aviation, Turbine",,,7/31/2018
201303,Cessna 560 Citation Ultra,5698,Pratt & Whitney Canada,JT15D-5C,1295,2275050012,"General Aviation, Turbine",,,8/4/2021
201304,Cessna S550 Citation S/II,4684,,PW530 ,1668,2275050012,"General Aviation, Turbine",,,7/18/2018
